2025-07-07 15:26:17,347 - INFO - Iniciando análise do arquivo: script.lens
2025-07-07 15:26:17,347 - INFO - Código carregado com sucesso.
2025-07-07 15:26:17,375 - INFO - Tokens analisados com sucesso. Imprimindo tokens:
2025-07-07 15:26:17,377 - INFO - Token: <START, @start, Linha 1, Coluna 0>
2025-07-07 15:26:17,378 - INFO - Token: <LET, let, Linha 11, Coluna 4>
2025-07-07 15:26:17,379 - INFO - Token: <VAR, idade, Linha 11, Coluna 8>
2025-07-07 15:26:17,380 - INFO - Token: <POINT2, :, Linha 11, Coluna 13>
2025-07-07 15:26:17,380 - INFO - Token: <INT_TYPE, int, Linha 11, Coluna 15>
2025-07-07 15:26:17,381 - INFO - Token: <EQUALS, =, Linha 11, Coluna 19>
2025-07-07 15:26:17,381 - INFO - Token: <INT, 25, Linha 11, Coluna 21>
2025-07-07 15:26:17,381 - INFO - Token: <LET, let, Linha 12, Coluna 4>
2025-07-07 15:26:17,382 - INFO - Token: <VAR, altura, Linha 12, Coluna 8>
2025-07-07 15:26:17,382 - INFO - Token: <POINT2, :, Linha 12, Coluna 14>
2025-07-07 15:26:17,382 - INFO - Token: <INT_TYPE, int, Linha 12, Coluna 16>
2025-07-07 15:26:17,383 - INFO - Token: <EQUALS, =, Linha 12, Coluna 20>
2025-07-07 15:26:17,383 - INFO - Token: <INT, 175, Linha 12, Coluna 22>
2025-07-07 15:26:17,383 - INFO - Token: <LET, let, Linha 13, Coluna 4>
2025-07-07 15:26:17,384 - INFO - Token: <VAR, nome, Linha 13, Coluna 8>
2025-07-07 15:26:17,384 - INFO - Token: <POINT2, :, Linha 13, Coluna 12>
2025-07-07 15:26:17,384 - INFO - Token: <STRING_TYPE, String, Linha 13, Coluna 14>
2025-07-07 15:26:17,385 - INFO - Token: <EQUALS, =, Linha 13, Coluna 21>
2025-07-07 15:26:17,385 - INFO - Token: <STRING, "João Silva", Linha 13, Coluna 23>
2025-07-07 15:26:17,385 - INFO - Token: <LET, let, Linha 16, Coluna 4>
2025-07-07 15:26:17,386 - INFO - Token: <VAR, contador, Linha 16, Coluna 8>
2025-07-07 15:26:17,387 - INFO - Token: <POINT2, :, Linha 16, Coluna 16>
2025-07-07 15:26:17,387 - INFO - Token: <INT_TYPE, int, Linha 16, Coluna 18>
2025-07-07 15:26:17,388 - INFO - Token: <LET, let, Linha 17, Coluna 4>
2025-07-07 15:26:17,388 - INFO - Token: <VAR, peso, Linha 17, Coluna 8>
2025-07-07 15:26:17,388 - INFO - Token: <POINT2, :, Linha 17, Coluna 12>
2025-07-07 15:26:17,388 - INFO - Token: <INT_TYPE, int, Linha 17, Coluna 14>
2025-07-07 15:26:17,389 - INFO - Token: <LET, let, Linha 18, Coluna 4>
2025-07-07 15:26:17,389 - INFO - Token: <VAR, sobrenome, Linha 18, Coluna 8>
2025-07-07 15:26:17,390 - INFO - Token: <POINT2, :, Linha 18, Coluna 17>
2025-07-07 15:26:17,390 - INFO - Token: <STRING_TYPE, String, Linha 18, Coluna 19>
2025-07-07 15:26:17,391 - INFO - Token: <VAR, contador, Linha 25, Coluna 4>
2025-07-07 15:26:17,391 - INFO - Token: <EQUALS, =, Linha 25, Coluna 13>
2025-07-07 15:26:17,392 - INFO - Token: <INT, 0, Linha 25, Coluna 15>
2025-07-07 15:26:17,392 - INFO - Token: <VAR, peso, Linha 26, Coluna 4>
2025-07-07 15:26:17,393 - INFO - Token: <EQUALS, =, Linha 26, Coluna 9>
